"lsoa11cd","date","lsoa11nm","Rural Urban","Second Address: Any address; measures: Value","Second Address: No second address; measures: Value","Second Address: Second address (total); measures: Value","Second Address: Second address within the UK; measures: Value","Second Address: Second address outside the UK; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1353,122,107,15
"E01026792",2011,"Norwich 005B","Total",1445,1374,71,59,12
"E01026793",2011,"Norwich 005C","Total",1817,1691,126,93,33
"E01026794",2011,"Norwich 005D","Total",2065,1974,91,59,32
"E01026796",2011,"Norwich 005F","Total",1643,1330,313,285,28
"E01026797",2011,"Norwich 001A","Total",2402,2316,86,65,21
"E01026798",2011,"Norwich 001B","Total",1533,1501,32,27,5
"E01026799",2011,"Norwich 001C","Total",1459,1414,45,35,10
"E01026800",2011,"Norwich 001D","Total",1991,1912,79,68,11
"E01026801",2011,"Norwich 001E","Total",1606,1562,44,31,13
"E01026802",2011,"Norwich 001F","Total",1605,1500,105,93,12
"E01026803",2011,"Norwich 004A","Total",1438,1402,36,31,5
"E01026804",2011,"Norwich 004B","Total",1429,1398,31,28,3
"E01026805",2011,"Norwich 004C","Total",1421,1387,34,32,2
"E01026806",2011,"Norwich 004D","Total",1503,1432,71,60,11
"E01026807",2011,"Norwich 004E","Total",1252,1208,44,34,10
"E01026808",2011,"Norwich 004F","Total",1320,1279,41,36,5
"E01026809",2011,"Norwich 004G","Total",1492,1473,19,19,0
"E01026810",2011,"Norwich 012A","Total",1389,1282,107,74,33
"E01026811",2011,"Norwich 012B","Total",1544,1443,101,66,35
"E01026812",2011,"Norwich 012C","Total",1425,1355,70,47,23
"E01026813",2011,"Norwich 012D","Total",1426,1356,70,45,25
"E01026814",2011,"Norwich 012E","Total",1522,1353,169,150,19
"E01026815",2011,"Norwich 012F","Total",1475,1292,183,130,53
"E01026816",2011,"Norwich 013A","Total",1741,1648,93,71,22
"E01026817",2011,"Norwich 013B","Total",1415,1385,30,25,5
"E01026818",2011,"Norwich 013C","Total",1462,1431,31,23,8
"E01026819",2011,"Norwich 013D","Total",1439,1391,48,42,6
"E01026820",2011,"Norwich 013E","Total",1727,1681,46,40,6
"E01026821",2011,"Norwich 013F","Total",1542,1510,32,28,4
"E01026822",2011,"Norwich 007A","Total",2031,1843,188,127,61
"E01026823",2011,"Norwich 007B","Total",1906,1655,251,187,64
"E01026824",2011,"Norwich 007C","Total",1471,1376,95,75,20
"E01026825",2011,"Norwich 007D","Total",1276,1164,112,94,18
"E01026826",2011,"Norwich 007E","Total",1456,1380,76,64,12
"E01026827",2011,"Norwich 007F","Total",1501,1432,69,62,7
"E01026828",2011,"Norwich 002A","Total",1744,1698,46,43,3
"E01026829",2011,"Norwich 002B","Total",2093,2004,89,72,17
"E01026830",2011,"Norwich 002C","Total",1276,1221,55,45,10
"E01026831",2011,"Norwich 002D","Total",1242,1159,83,66,17
"E01026832",2011,"Norwich 002E","Total",1415,1385,30,26,4
"E01026833",2011,"Norwich 002F","Total",1382,1348,34,27,7
"E01026834",2011,"Norwich 002G","Total",1503,1460,43,38,5
"E01026835",2011,"Norwich 009A","Total",1502,1156,346,306,40
"E01026836",2011,"Norwich 009B","Total",1566,1289,277,240,37
"E01026837",2011,"Norwich 009C","Total",1471,1294,177,151,26
"E01026838",2011,"Norwich 009D","Total",1551,1284,267,211,56
"E01026839",2011,"Norwich 009E","Total",1596,1103,493,455,38
"E01026840",2011,"Norwich 009F","Total",1611,1341,270,230,40
"E01026841",2011,"Norwich 003A","Total",1453,1379,74,53,21
"E01026842",2011,"Norwich 003B","Total",1648,1572,76,62,14
"E01026843",2011,"Norwich 003C","Total",1905,1832,73,62,11
"E01026844",2011,"Norwich 003D","Total",1741,1669,72,57,15
"E01026845",2011,"Norwich 003E","Total",1561,1492,69,56,13
"E01026846",2011,"Norwich 003F","Total",1626,1505,121,98,23
"E01026848",2011,"Norwich 015A","Total",1856,1790,66,56,10
"E01026849",2011,"Norwich 015B","Total",1738,1615,123,83,40
"E01026850",2011,"Norwich 015C","Total",1827,1702,125,107,18
"E01026852",2011,"Norwich 011A","Total",1295,1224,71,59,12
"E01026853",2011,"Norwich 011B","Total",1751,1634,117,87,30
"E01026855",2011,"Norwich 011D","Total",1568,1334,234,195,39
"E01026856",2011,"Norwich 011E","Total",1821,1361,460,411,49
"E01026857",2011,"Norwich 011F","Total",1515,1248,267,217,50
"E01026858",2011,"Norwich 010A","Total",1512,1330,182,135,47
"E01026859",2011,"Norwich 010B","Total",1659,1474,185,161,24
"E01026860",2011,"Norwich 010C","Total",4313,1707,2606,2078,528
"E01026861",2011,"Norwich 010D","Total",1493,1235,258,211,47
"E01026862",2011,"Norwich 010E","Total",1302,1127,175,149,26
"E01026863",2011,"Norwich 006A","Total",1814,1506,308,274,34
"E01026864",2011,"Norwich 006B","Total",1547,1487,60,45,15
"E01026865",2011,"Norwich 006C","Total",1949,1779,170,143,27
"E01026866",2011,"Norwich 006D","Total",1574,1390,184,154,30
"E01026867",2011,"Norwich 006E","Total",1592,1500,92,72,20
"E01026868",2011,"Norwich 006F","Total",1628,1436,192,152,40
"E01026869",2011,"Norwich 006G","Total",1400,1367,33,24,9
"E01033434",2011,"Norwich 011G","Total",1076,923,153,99,54
"E01033435",2011,"Norwich 005G","Total",1845,1528,317,226,91
"E01033436",2011,"Norwich 005H","Total",1393,1290,103,73,30
"E01033437",2011,"Norwich 011H","Total",1378,1276,102,82,20
"E01033438",2011,"Norwich 014A","Total",1397,1267,130,95,35
"E01033439",2011,"Norwich 014B","Total",1440,1348,92,74,18
"E01033440",2011,"Norwich 014C","Total",1070,976,94,54,40
"E01033441",2011,"Norwich 014D","Total",1229,1060,169,111,58
